elapsed_s,TP_FILTER_WORKLOAD_16BIT,TP_FILTER_WORKLOAD_32BIT,TP_QUADS_RECEIVED,TP_QUADS_OFFSET,TP_QUADS_SHADOW,TP_QUADS_ARRAY,TP_QUADS_GRADIENT,TP_QUADS_1D,TP_QUADS_2D,TP_QUADS_BUFFER,TP_QUADS_3D,TP_QUADS_CUBE
0.384515,0,0,0,0,0,0,0,0,0,0,0,0
0.385934,0,0,0,0,0,0,0,0,0,0,0,0
0.387357,0,0,0,0,0,0,0,0,0,0,0,0
0.388876,0,0,0,0,0,0,0,0,0,0,0,0
0.390298,0,0,0,0,0,0,0,0,0,0,0,0
0.391719,0,0,0,0,0,0,0,0,0,0,0,0
0.393140,0,0,0,0,0,0,0,0,0,0,0,0
0.394563,0,0,0,0,0,0,0,0,0,0,0,0
0.395985,0,0,0,0,0,0,0,0,0,0,0,0
0.397407,0,0,0,0,0,0,0,0,0,0,0,0
0.398838,0,0,0,0,0,0,0,0,0,0,0,0
0.400258,0,0,0,0,0,0,0,0,0,0,0,0
0.401679,0,0,0,0,0,0,0,0,0,0,0,0
0.403100,0,0,0,0,0,0,0,0,0,0,0,0
0.404569,0,0,0,0,0,0,0,0,0,0,0,0
0.405994,0,0,0,0,0,0,0,0,0,0,0,0
0.407387,0,0,0,0,0,0,0,0,0,0,0,0
0.408839,0,0,0,0,0,0,0,0,0,0,0,0
0.410240,0,0,0,0,0,0,0,0,0,0,0,0
0.411632,0,0,0,0,0,0,0,0,0,0,0,0
0.413028,0,0,0,0,0,0,0,0,0,0,0,0
0.414423,0,0,0,0,0,0,0,0,0,0,0,0
0.415817,0,0,0,0,0,0,0,0,0,0,0,0
0.417210,0,0,0,0,0,0,0,0,0,0,0,0
0.418604,0,0,0,0,0,0,0,0,0,0,0,0
0.420032,0,0,0,0,0,0,0,0,0,0,0,0
0.421415,0,0,0,0,0,0,0,0,0,0,0,0
0.422792,0,0,0,0,0,0,0,0,0,0,0,0
0.424168,0,0,0,0,0,0,0,0,0,0,0,0
0.425546,0,0,0,0,0,0,0,0,0,0,0,0
0.426924,0,0,0,0,0,0,0,0,0,0,0,0
0.428301,0,0,0,0,0,0,0,0,0,0,0,0
0.429676,0,0,0,0,0,0,0,0,0,0,0,0
0.431052,0,0,0,0,0,0,0,0,0,0,0,0
0.432433,0,0,0,0,0,0,0,0,0,0,0,0
0.433878,0,0,0,0,0,0,0,0,0,0,0,0
0.435254,0,0,0,0,0,0,0,0,0,0,0,0
0.436662,0,0,0,0,0,0,0,0,0,0,0,0
0.438038,0,0,0,0,0,0,0,0,0,0,0,0
0.439478,0,0,0,0,0,0,0,0,0,0,0,0
0.440919,0,0,0,0,0,0,0,0,0,0,0,0
0.442361,0,0,0,0,0,0,0,0,0,0,0,0
0.443805,0,0,0,0,0,0,0,0,0,0,0,0
0.445247,0,0,0,0,0,0,0,0,0,0,0,0
0.446698,0,0,0,0,0,0,0,0,0,0,0,0
0.448151,0,0,0,0,0,0,0,0,0,0,0,0
0.449602,0,0,0,0,0,0,0,0,0,0,0,0
0.451044,0,0,0,0,0,0,0,0,0,0,0,0
0.452500,0,0,0,0,0,0,0,0,0,0,0,0
