elapsed_s,VPC_US_STREAMOUT_TRANSACTION,VPC_US_NUM_GMEM_READ_SO,VPC_US_STARVE_CYCLES_UCHE_RD,VPC_US_STALL_CYCLES_PRG_END_VPCUS,VPC_US_STARVE_CYCLES_REORDER,VPC_US_BOTTLENECK
0.649700,0,0,0,0,635532,0
0.651379,0,0,0,0,722358,0
0.653108,0,0,0,0,813357,0
0.654933,0,0,0,0,682326,0
0.656590,0,0,0,0,652335,0
0.658158,0,0,0,0,652764,0
0.659727,0,0,0,0,653073,0
0.661310,0,0,0,0,653235,0
0.662945,0,0,0,0,651549,0
0.664834,0,0,0,0,669369,0
0.666656,0,0,0,0,669120,0
0.668278,0,0,0,0,655764,0
0.670059,0,0,0,0,670959,0
0.671979,0,0,0,0,672165,0
0.673804,0,0,0,0,670359,0
0.675631,0,0,0,0,673071,0
0.677456,0,0,0,0,671226,0
0.679358,0,0,0,0,610110,0
0.680936,0,0,0,0,658047,0
0.682531,0,0,0,0,651870,0
0.684311,0,0,0,0,663330,0
0.686122,0,0,0,0,659451,0
0.687733,0,0,0,0,643830,0
0.689435,0,0,0,0,816885,0
0.691254,0,0,0,0,858381,0
0.693027,0,0,0,0,658566,0
0.694888,0,0,0,0,669357,0
0.696905,0,0,0,0,670929,0
0.698729,0,0,0,0,670665,0
0.700553,0,0,0,0,663384,0
0.702226,0,0,0,0,833679,0
0.703977,0,0,0,0,690204,0
0.705726,0,0,0,0,653145,0
0.707296,0,0,0,0,659469,0
0.708876,0,0,0,0,643119,0
0.710433,0,0,0,0,733371,0
0.712062,0,0,0,0,654018,0
0.713628,0,0,0,0,651870,0
0.715206,0,0,0,0,751698,0
0.717052,0,0,0,0,671142,0
0.718953,0,0,0,0,803229,0
0.720928,0,0,0,0,738144,0
0.722747,0,0,0,0,671514,0
0.724570,0,0,0,0,670905,0
0.726601,0,0,0,0,571686,0
0.728296,0,0,0,0,531270,0
0.730027,0,0,0,0,531450,0
0.731757,0,0,0,0,533814,0
0.733485,0,0,0,0,530010,0
0.735098,0,0,0,0,529137,0
0.736819,0,0,0,0,532428,0
0.738548,0,0,0,0,532911,0
0.740282,0,0,0,0,535167,0
0.742017,0,0,0,0,535593,0
0.743754,0,0,0,0,529770,0
0.745473,0,0,0,0,526731,0
0.747032,0,0,0,0,739533,0
0.748871,0,0,0,0,677190,0
0.750608,0,0,0,0,575043,0
0.752547,0,0,0,0,593730,0
0.754166,0,0,0,0,578628,0
0.755749,0,0,0,0,575601,0
0.757339,0,0,0,0,575514,0
0.758988,0,0,0,0,706245,0
0.760761,0,0,0,0,575121,0
0.762506,0,0,0,0,590967,0
0.764335,0,0,0,0,592731,0
0.766160,0,0,0,0,589302,0
0.768079,0,0,0,0,592008,0
0.769906,0,0,0,0,588627,0
0.771732,0,0,0,0,582192,0
0.773544,0,0,0,0,580545,0
0.775680,0,0,0,0,587619,0
0.777608,0,0,0,0,586554,0
0.779451,0,0,0,0,588567,0
0.781273,0,0,0,0,587367,0
0.783172,0,0,0,0,593610,0
0.784799,0,0,0,0,570171,0
0.786370,0,0,0,0,574353,0
0.788144,0,0,0,0,587799,0
0.789785,0,0,0,0,576033,0
0.791572,0,0,0,0,589476,0
0.793393,0,0,0,0,586911,0
0.795013,0,0,0,0,751107,0
0.796748,0,0,0,0,574899,0
0.798526,0,0,0,0,600162,0
0.800177,0,0,0,0,569940,0
0.801955,0,0,0,0,591249,0
0.803782,0,0,0,0,581121,0
0.805595,0,0,0,0,579258,0
0.807639,0,0,0,0,673164,0
0.809561,0,0,0,0,572136,0
0.811353,0,0,0,0,524163,0
0.812928,0,0,0,0,574488,0
0.814786,0,0,0,0,588135,0
0.816614,0,0,0,0,586461,0
0.818440,0,0,0,0,583791,0
0.820265,0,0,0,0,587271,0
0.821908,0,0,0,0,572136,0
0.823695,0,0,0,0,588111,0
0.825521,0,0,0,0,581448,0
0.827340,0,0,0,0,613359,0
0.828979,0,0,0,0,571623,0
0.830836,0,0,0,0,586206,0
0.832475,0,0,0,0,570351,0
0.834256,0,0,0,0,585075,0
0.836082,0,0,0,0,586581,0
0.837907,0,0,0,0,587094,0
0.839736,0,0,0,0,586899,0
0.841560,0,0,0,0,585549,0
0.843553,0,0,0,0,520287,0
0.845113,0,0,0,0,575118,0
0.846972,0,0,0,0,677985,0
0.848882,0,0,0,0,595710,0
0.850702,0,0,0,0,584481,0
0.852526,0,0,0,0,587742,0
0.854169,0,0,0,0,572550,0
0.855955,0,0,0,0,583587,0
0.857766,0,0,0,0,576771,0
0.859379,0,0,0,0,577677,0
0.861448,0,0,0,0,585705,0
0.863347,0,0,0,0,607842,0
0.865004,0,0,0,0,567039,0
0.866568,0,0,0,0,562788,0
0.868368,0,0,0,0,670503,0
0.870020,0,0,0,0,563964,0
0.871905,0,0,0,0,605736,0
0.873742,0,0,0,0,589470,0
0.875527,0,0,0,0,572589,0
0.877309,0,0,0,0,588660,0
0.879211,0,0,0,0,596484,0
0.881043,0,0,0,0,588876,0
0.883902,0,0,0,0,773064,0
0.885742,0,0,0,0,552216,0
0.887360,0,0,0,0,439917,0
0.888868,0,0,0,0,502686,0
0.890437,0,0,0,0,505548,0
0.892008,0,0,0,0,508302,0
0.893576,0,0,0,0,505707,0
0.895219,0,0,0,0,490395,0
0.896893,0,0,0,0,486936,0
0.898442,0,0,0,0,505965,0
0.900256,0,0,0,0,582549,0
0.901913,0,0,0,0,508746,0
0.903499,0,0,0,0,503712,0
0.905214,0,0,0,0,565746,0
0.906868,0,0,0,0,505023,0
0.908448,0,0,0,0,503283,0
0.910056,0,0,0,0,543732,0
0.911667,0,0,0,0,497166,0
0.913226,0,0,0,0,495348,0
0.914784,0,0,0,0,495222,0
0.916344,0,0,0,0,502533,0
0.917926,0,0,0,0,503085,0
0.919501,0,0,0,0,500544,0
0.921273,0,0,0,0,514035,0
0.923096,0,0,0,0,523260,0
0.924920,0,0,0,0,509880,0
0.926807,0,0,0,0,507276,0
0.928566,0,0,0,0,587922,0
0.930225,0,0,0,0,492018,0
0.932111,0,0,0,0,549705,0
0.933967,0,0,0,0,513045,0
0.935592,0,0,0,0,503415,0
0.937371,0,0,0,0,512199,0
0.939007,0,0,0,0,660768,0
0.940789,0,0,0,0,499371,0
0.942632,0,0,0,0,509739,0
0.944249,0,0,0,0,499386,0
0.946027,0,0,0,0,518481,0
0.947858,0,0,0,0,516879,0
0.949504,0,0,0,0,503769,0
0.951366,0,0,0,0,511362,0
0.953329,0,0,0,0,575424,0
0.955010,0,0,0,0,573555,0
0.956862,0,0,0,0,515301,0
0.958765,0,0,0,0,516921,0
0.960404,0,0,0,0,501738,0
0.962187,0,0,0,0,515766,0
0.964015,0,0,0,0,518361,0
0.965841,0,0,0,0,517155,0
0.967830,0,0,0,0,554160,0
0.969698,0,0,0,0,516588,0
0.971545,0,0,0,0,519432,0
0.973374,0,0,0,0,514920,0
0.975275,0,0,0,0,524835,0
0.977105,0,0,0,0,515883,0
0.978927,0,0,0,0,514701,0
0.980906,0,0,0,0,517086,0
0.982628,0,0,0,0,504138,0
0.984413,0,0,0,0,511923,0
0.986222,0,0,0,0,509220,0
0.987828,0,0,0,0,584916,0
0.989443,0,0,0,0,445365,0
0.991180,0,0,0,0,649026,0
0.992933,0,0,0,0,453543,0
0.994432,0,0,0,0,448140,0
0.995947,0,0,0,0,451848,0
0.997439,0,0,0,0,444753,0
0.998975,0,0,0,0,443550,0
1.000460,0,0,0,0,457854,0
1.001963,0,0,0,0,448743,0
1.003469,0,0,0,0,452607,0
1.004956,0,0,0,0,447840,0
1.006441,0,0,0,0,516027,0
1.007995,0,0,0,0,448944,0
1.009486,0,0,0,0,451497,0
1.011163,0,0,0,0,468558,0
1.012896,0,0,0,0,463512,0
1.014453,0,0,0,0,550455,0
1.016085,0,0,0,0,503130,0
1.017860,0,0,0,0,510663,0
