elapsed_s,VPC_FE_POSRAM_FULL_CYCLES,VPC_FE_GMEM_NOP_FULL_CYCLES,VPC_FE_GMEM_POS_FULL_CYCLES,VPC_FE_BOTTLENECK,VPC_US_BUSY_CYCLES,VPC_US_WORKING_CYCLES
0.683040,0,0,0,0,0,0
0.684768,0,0,0,0,0,0
0.686506,0,0,0,0,0,0
0.688296,0,0,0,0,0,0
0.689854,0,0,0,0,0,0
0.691543,0,0,0,0,0,0
0.693275,0,0,0,0,0,0
0.695006,0,0,0,0,0,0
0.696798,0,0,0,0,0,0
0.698537,0,0,0,0,0,0
0.700105,0,0,0,0,0,0
0.701891,0,0,0,0,0,0
0.703716,0,0,0,0,0,0
0.705624,0,0,0,0,0,0
0.707447,0,0,0,0,0,0
0.709271,0,0,0,0,0,0
0.711117,0,0,0,0,0,0
0.713020,0,0,0,0,0,0
0.714845,0,0,0,0,0,0
0.716665,0,0,0,0,0,0
0.718493,0,0,0,0,0,0
0.720393,0,0,0,0,0,0
0.722164,0,0,0,0,0,0
0.723947,0,0,0,0,0,0
0.725772,0,0,0,0,0,0
0.727595,0,0,0,0,0,0
0.729419,0,0,0,0,0,0
0.731229,0,0,0,0,0,0
0.733196,0,0,0,0,0,0
0.734955,0,0,0,0,0,0
0.736826,0,0,0,0,0,0
0.738447,0,0,0,0,0,0
0.740226,0,0,0,0,0,0
0.742048,0,0,0,0,0,0
0.743887,0,0,0,0,0,0
0.745437,0,0,0,0,0,0
0.747217,0,0,0,0,0,0
0.749038,0,0,0,0,0,0
0.750859,0,0,0,0,0,0
0.752753,0,0,0,0,0,0
0.754398,0,0,0,0,0,0
0.756171,0,0,0,0,0,0
0.757893,0,0,0,0,0,0
0.759587,0,0,0,0,0,0
0.761324,0,0,0,0,0,0
0.763042,0,0,0,0,0,0
0.764784,0,0,0,0,0,0
0.766502,0,0,0,0,0,0
0.768389,0,0,0,0,0,0
0.770004,0,0,0,0,0,0
0.771777,0,0,0,0,0,0
0.773596,0,0,0,0,0,0
0.775432,0,0,0,0,0,0
0.777257,0,0,0,0,0,0
0.779077,0,0,0,0,0,0
0.780892,0,0,0,0,0,0
0.782531,0,0,0,0,0,0
0.784183,0,0,0,0,0,0
0.785773,0,0,0,0,0,0
0.787546,0,0,0,0,0,0
0.789370,0,0,0,0,0,0
0.791198,0,0,0,0,0,0
0.793132,0,0,0,0,0,0
0.794738,0,0,0,0,0,0
0.796297,0,0,0,0,0,0
0.797852,0,0,0,0,0,0
0.799611,0,0,0,0,0,0
0.801282,0,0,0,0,0,0
0.803066,0,0,0,0,0,0
0.804884,0,0,0,0,0,0
0.806484,0,0,0,0,0,0
0.808056,0,0,0,0,0,0
0.809856,0,0,0,0,0,0
0.811679,0,0,0,0,0,0
0.813502,0,0,0,0,0,0
0.815323,0,0,0,0,0,0
0.817349,0,0,0,0,0,0
0.819038,0,0,0,0,0,0
0.820762,0,0,0,0,0,0
0.822499,0,0,0,0,0,0
0.824288,0,0,0,0,0,0
0.826016,0,0,0,0,0,0
0.827764,0,0,0,0,0,0
0.829494,0,0,0,0,0,0
0.831041,0,0,0,0,0,0
0.832801,0,0,0,0,0,0
0.834538,0,0,0,0,0,0
0.836264,0,0,0,0,0,0
0.838013,0,0,0,0,0,0
0.839742,0,0,0,0,0,0
0.841539,0,0,0,0,0,0
0.843270,0,0,0,0,0,0
0.845002,0,0,0,0,0,0
0.846735,0,0,0,0,0,0
0.848360,0,0,0,0,0,0
0.850053,0,0,0,0,0,0
0.851767,0,0,0,0,0,0
0.853336,0,0,0,0,0,0
0.854957,0,0,0,0,0,0
0.856567,0,0,0,0,0,0
0.858167,0,0,0,0,0,0
0.859716,0,0,0,0,0,0
0.861418,0,0,0,0,0,0
0.863148,0,0,0,0,0,0
0.865031,0,0,0,0,0,0
0.866796,0,0,0,0,0,0
0.868523,0,0,0,0,0,0
0.870353,0,0,0,0,0,0
0.872081,0,0,0,0,0,0
0.873617,0,0,0,0,0,0
0.875303,0,0,0,0,0,0
0.877033,0,0,0,0,0,0
0.878762,0,0,0,0,0,0
0.880388,0,0,0,0,0,0
0.882081,0,0,0,0,0,0
0.883809,0,0,0,0,0,0
0.885559,0,0,0,0,0,0
0.887378,0,0,0,0,0,0
0.889207,0,0,0,0,0,0
0.891039,0,0,0,0,0,0
0.892852,0,0,0,0,0,0
0.894576,0,0,0,0,0,0
0.896230,0,0,0,0,0,0
0.898007,0,0,0,0,0,0
0.899829,0,0,0,0,0,0
0.901673,0,0,0,0,0,0
0.903496,0,0,0,0,0,0
0.905324,0,0,0,0,0,0
0.907147,0,0,0,0,0,0
0.908973,0,0,0,0,0,0
0.910779,0,0,0,0,0,0
0.912487,0,0,0,0,0,0
0.914475,0,0,0,0,0,0
0.916428,0,0,0,0,0,0
0.918135,0,0,0,0,0,0
0.919929,0,0,0,0,0,0
0.921625,0,0,0,0,0,0
0.923272,0,0,0,0,0,0
0.924844,0,0,0,0,0,0
0.926417,0,0,0,0,0,0
0.927984,0,0,0,0,0,0
0.929625,0,0,0,0,0,0
0.931192,0,0,0,0,0,0
0.932967,0,0,0,0,0,0
0.934609,0,0,0,0,0,0
0.936469,0,0,0,0,0,0
0.938229,0,0,0,0,0,0
0.940009,0,0,0,0,0,0
0.941835,0,0,0,0,0,0
0.943658,0,0,0,0,0,0
0.945378,0,0,0,0,0,0
0.947163,0,0,0,0,0,0
0.948990,0,0,0,0,0,0
0.950812,0,0,0,0,0,0
0.952711,0,0,0,0,0,0
0.954338,0,0,0,0,0,0
0.955927,0,0,0,0,0,0
0.957703,0,0,0,0,0,0
0.959526,0,0,0,0,0,0
0.961351,0,0,0,0,0,0
0.963173,0,0,0,0,0,0
0.964998,0,0,0,0,0,0
0.966842,0,0,0,0,0,0
0.968741,0,0,0,0,0,0
0.970373,0,0,0,0,0,0
0.971938,0,0,0,0,0,0
0.973500,0,0,0,0,0,0
0.975367,0,0,0,0,0,0
0.977135,0,0,0,0,0,0
0.979042,0,0,0,0,0,0
0.980862,0,0,0,0,0,0
0.982445,0,0,0,0,0,0
0.984302,0,0,0,0,0,0
0.986126,0,0,0,0,0,0
0.987973,0,0,0,0,0,0
0.989800,0,0,0,0,0,0
0.991622,0,0,0,0,0,0
0.993449,0,0,0,0,0,0
0.995271,0,0,0,0,0,0
0.997096,0,0,0,0,0,0
0.998940,0,0,0,0,0,0
1.000841,0,0,0,0,0,0
1.002671,0,0,0,0,0,0
1.004492,0,0,0,0,0,0
1.006498,0,0,0,0,0,0
1.008397,0,0,0,0,0,0
1.010120,0,0,0,0,0,0
1.011906,0,0,0,0,0,0
1.013732,0,0,0,0,0,0
1.015541,0,0,0,0,0,0
1.017261,0,0,0,0,0,0
1.018849,0,0,0,0,0,0
1.020438,0,0,0,0,0,0
1.022007,0,0,0,0,0,0
1.023573,0,0,0,0,0,0
1.025143,0,0,0,0,0,0
1.026707,0,0,0,0,0,0
1.028476,0,0,0,0,0,0
1.030440,0,0,0,0,0,0
1.032183,0,0,0,0,0,0
1.033880,0,0,0,0,0,0
1.035535,0,0,0,0,0,0
1.037417,0,0,0,0,0,0
1.039251,0,0,0,0,0,0
1.040870,0,0,0,0,0,0
1.042673,0,0,0,0,0,0
1.044491,0,0,0,0,0,0
1.046457,0,0,0,0,0,0
1.048356,0,0,0,0,0,0
1.050174,0,0,0,0,0,0
1.051994,0,0,0,0,0,0
1.053640,0,0,0,0,0,0
1.055223,0,0,0,0,0,0
