elapsed_s,VPC_BE_PS_BUSY_CYCLES,VPC_BE_PS_WORKING_CYCLES,VPC_BE_STALL_CYCLES_CCHE,VPC_BE_STARVE_CYCLES_CCHE,VPC_BE_LM_FULL_WAIT_FOR_INTP_END,VPC_BE_CCHE_REQBUF_FULL
0.533956,0,0,0,8408040,0,0
0.535221,0,0,0,8343660,0,0
0.536485,0,0,0,8340084,0,0
0.537748,0,0,0,8428992,0,0
0.539033,0,0,0,8560932,0,0
0.540328,0,0,0,8384274,0,0
0.541593,0,0,0,8342382,0,0
0.542906,0,0,0,8668818,0,0
0.544178,0,0,0,8393514,0,0
0.545442,0,0,0,8343180,0,0
0.546708,0,0,0,8352546,0,0
0.547973,0,0,0,8347302,0,0
0.549236,0,0,0,8343018,0,0
0.550502,0,0,0,8355870,0,0
0.551767,0,0,0,8344572,0,0
0.553031,0,0,0,8344356,0,0
0.554339,0,0,0,8634384,0,0
0.555603,0,0,0,8341248,0,0
0.556867,0,0,0,8343558,0,0
0.558133,0,0,0,8352522,0,0
0.559398,0,0,0,8347326,0,0
0.560662,0,0,0,8345388,0,0
0.561928,0,0,0,8355684,0,0
0.563193,0,0,0,8344752,0,0
0.564465,0,0,0,8397678,0,0
0.565728,0,0,0,8350758,0,0
0.566995,0,0,0,8345502,0,0
0.568292,0,0,0,8565378,0,0
0.569557,0,0,0,8344500,0,0
0.570854,0,0,0,8566962,0,0
0.572119,0,0,0,8349282,0,0
0.573384,0,0,0,8342916,0,0
0.574658,0,0,0,8407602,0,0
0.575922,0,0,0,8341182,0,0
0.577186,0,0,0,8345190,0,0
0.578452,0,0,0,8355786,0,0
0.579717,0,0,0,8344056,0,0
0.580980,0,0,0,8340228,0,0
0.582247,0,0,0,8360142,0,0
0.583511,0,0,0,8345046,0,0
0.584783,0,0,0,8398746,0,0
0.586050,0,0,0,8574456,0,0
0.587347,0,0,0,8346510,0,0
0.588611,0,0,0,8341710,0,0
0.589878,0,0,0,8356386,0,0
