elapsed_s,VPC_FE_TSE_FE_TRANSACTIONS,VPC_FE_STALL_CYCLES_CCU,VPC_FE_NUM_WM_HIT,VPC_FE_STALL_DQ_WACK,VPC_FE_STALL_CYCLES_PRG_END_FE,VPC_FE_STALL_CYCLES_PRG_END_VPCVS
0.243730,0,0,0,0,0,0
0.245148,0,0,0,0,0,0
0.246408,0,0,0,0,0,0
0.247778,0,0,0,0,0,0
0.249146,0,0,0,0,0,0
0.250517,0,0,0,0,0,0
0.251885,0,0,0,0,0,0
0.253254,0,0,0,0,0,0
0.254675,0,0,0,0,0,0
0.256120,0,0,0,0,0,0
0.257456,0,0,0,0,0,0
0.258853,0,0,0,0,0,0
0.260330,0,0,0,0,0,0
0.261747,0,0,0,0,0,0
0.263151,0,0,0,0,0,0
0.264547,0,0,0,0,0,0
0.265953,0,0,0,0,0,0
0.267225,0,0,0,0,0,0
0.268620,0,0,0,0,0,0
0.270014,0,0,0,0,0,0
0.271408,0,0,0,0,0,0
0.272854,0,0,0,0,0,0
0.274376,0,0,0,0,0,0
0.275770,0,0,0,0,0,0
0.277188,0,0,0,0,0,0
0.278585,0,0,0,0,0,0
0.279980,0,0,0,0,0,0
0.281375,0,0,0,0,0,0
0.282772,0,0,0,0,0,0
0.284180,0,0,0,0,0,0
0.285613,0,0,0,0,0,0
0.287172,0,0,0,0,0,0
0.288599,0,0,0,0,0,0
0.292211,0,0,0,0,0,0
0.295781,0,0,0,0,0,0
0.297292,0,0,0,0,0,0
0.298684,0,0,0,0,0,0
0.300073,0,0,0,0,0,0
0.301696,0,0,0,0,0,0
0.304406,0,0,0,0,0,0
0.305806,0,0,0,0,0,0
0.307388,0,0,0,0,0,0
0.308762,0,0,0,0,0,0
0.310118,0,0,0,0,0,0
0.311469,0,0,0,0,0,0
0.312819,0,0,0,0,0,0
0.314171,0,0,0,0,0,0
0.315519,0,0,0,0,0,0
0.317041,0,0,0,0,0,0
0.318428,0,0,0,0,0,0
0.319782,0,0,0,0,0,0
0.321198,0,0,0,0,0,0
0.322597,0,0,0,0,0,0
0.323987,0,0,0,0,0,0
0.326886,0,0,0,0,0,0
0.328935,0,0,0,0,0,0
0.330455,0,0,0,0,0,0
0.331860,0,0,0,0,0,0
0.333255,0,0,0,0,0,0
0.334648,0,0,0,0,0,0
0.336079,0,0,0,0,0,0
0.337473,0,0,0,0,0,0
0.338887,0,0,0,0,0,0
0.340283,0,0,0,0,0,0
0.341681,0,0,0,0,0,0
0.343077,0,0,0,0,0,0
0.344472,0,0,0,0,0,0
0.345868,0,0,0,0,0,0
0.347263,0,0,0,0,0,0
0.348789,0,0,0,0,0,0
0.350242,0,0,0,0,0,0
0.351644,0,0,0,0,0,0
0.353045,0,0,0,0,0,0
0.354442,0,0,0,0,0,0
0.355838,0,0,0,0,0,0
0.357235,0,0,0,0,0,0
0.358631,0,0,0,0,0,0
0.360155,0,0,0,0,0,0
0.361732,0,0,0,0,0,0
0.363295,0,0,0,0,0,0
0.364855,0,0,0,0,0,0
0.366419,0,0,0,0,0,0
0.367867,0,0,0,0,0,0
0.369460,0,0,0,0,0,0
0.371025,0,0,0,0,0,0
0.372599,0,0,0,0,0,0
0.374162,0,0,0,0,0,0
0.375726,0,0,0,0,0,0
0.377291,0,0,0,0,0,0
0.378855,0,0,0,0,0,0
0.380416,0,0,0,0,0,0
0.381980,0,0,0,0,0,0
0.383555,0,0,0,0,0,0
0.385121,0,0,0,0,0,0
0.386686,0,0,0,0,0,0
0.388248,0,0,0,0,0,0
0.389696,0,0,0,0,0,0
0.391087,0,0,0,0,0,0
0.392434,0,0,0,0,0,0
