elapsed_s,TP_NEVER_COUNT,TP_BUSY_CYCLES,TP_STALL_CYCLES_UCHE,TP_LATENCY_CYCLES,TP_LATENCY_TRANS,TP_FLAG_FIFO_DELAY_SAMPLES,TP_FLAG_FIFO_DELAY_CYCLES,TP_L1_CACHELINE_REQUESTS,TP_L1_CACHELINE_MISSES,TP_SP_TP_TRANS,TP_TP_SP_TRANS,TP_OUTPUT_PIXELS
0.179433,0,0,0,0,0,0,0,0,0,0,0,0
0.180995,0,0,0,0,0,0,0,0,0,0,0,0
0.182566,0,0,0,0,0,0,0,0,0,0,0,0
0.184156,0,0,0,0,0,0,0,0,0,0,0,0
0.185752,0,0,0,0,0,0,0,0,0,0,0,0
0.187341,0,0,0,0,0,0,0,0,0,0,0,0
0.188934,0,0,0,0,0,0,0,0,0,0,0,0
0.190526,0,0,0,0,0,0,0,0,0,0,0,0
0.192171,0,0,0,0,0,0,0,0,0,0,0,0
0.193766,0,0,0,0,0,0,0,0,0,0,0,0
0.195356,0,0,0,0,0,0,0,0,0,0,0,0
0.196950,0,0,0,0,0,0,0,0,0,0,0,0
0.198542,0,0,0,0,0,0,0,0,0,0,0,0
0.200132,0,0,0,0,0,0,0,0,0,0,0,0
0.201727,0,0,0,0,0,0,0,0,0,0,0,0
0.203331,0,0,0,0,0,0,0,0,0,0,0,0
0.204925,0,0,0,0,0,0,0,0,0,0,0,0
0.206516,0,0,0,0,0,0,0,0,0,0,0,0
0.208150,0,0,0,0,0,0,0,0,0,0,0,0
0.209746,0,0,0,0,0,0,0,0,0,0,0,0
0.211337,0,0,0,0,0,0,0,0,0,0,0,0
0.212930,0,0,0,0,0,0,0,0,0,0,0,0
0.214412,0,0,0,0,0,0,0,0,0,0,0,0
0.215974,0,0,0,0,0,0,0,0,0,0,0,0
0.217530,0,0,0,0,0,0,0,0,0,0,0,0
0.219138,0,0,0,0,0,0,0,0,0,0,0,0
0.220625,0,0,0,0,0,0,0,0,0,0,0,0
0.222189,0,0,0,0,0,0,0,0,0,0,0,0
0.223779,0,0,0,0,0,0,0,0,0,0,0,0
0.225425,0,0,0,0,0,0,0,0,0,0,0,0
0.227016,0,0,0,0,0,0,0,0,0,0,0,0
0.228608,0,0,0,0,0,0,0,0,0,0,0,0
0.230200,0,0,0,0,0,0,0,0,0,0,0,0
0.231790,0,0,0,0,0,0,0,0,0,0,0,0
0.233382,0,0,0,0,0,0,0,0,0,0,0,0
0.234972,0,0,0,0,0,0,0,0,0,0,0,0
0.236520,0,0,0,0,0,0,0,0,0,0,0,0
0.238114,0,0,0,0,0,0,0,0,0,0,0,0
0.239706,0,0,0,0,0,0,0,0,0,0,0,0
0.241299,0,0,0,0,0,0,0,0,0,0,0,0
0.242893,0,0,0,0,0,0,0,0,0,0,0,0
0.244487,0,0,0,0,0,0,0,0,0,0,0,0
0.246082,0,0,0,0,0,0,0,0,0,0,0,0
0.247688,0,0,0,0,0,0,0,0,0,0,0,0
0.249281,0,0,0,0,0,0,0,0,0,0,0,0
0.250874,0,0,0,0,0,0,0,0,0,0,0,0
0.252469,0,0,0,0,0,0,0,0,0,0,0,0
0.254063,0,0,0,0,0,0,0,0,0,0,0,0
0.255655,0,0,0,0,0,0,0,0,0,0,0,0
0.257250,0,0,0,0,0,0,0,0,0,0,0,0
0.258858,0,0,0,0,0,0,0,0,0,0,0,0
0.260453,0,0,0,0,0,0,0,0,0,0,0,0
0.262047,0,0,0,0,0,0,0,0,0,0,0,0
0.263638,0,0,0,0,0,0,0,0,0,0,0,0
0.265231,0,0,0,0,0,0,0,0,0,0,0,0
0.266826,0,0,0,0,0,0,0,0,0,0,0,0
0.268421,0,0,0,0,0,0,0,0,0,0,0,0
0.270027,0,0,0,0,0,0,0,0,0,0,0,0
0.271619,0,0,0,0,0,0,0,0,0,0,0,0
0.273214,0,0,0,0,0,0,0,0,0,0,0,0
0.274808,0,0,0,0,0,0,0,0,0,0,0,0
0.276401,0,0,0,0,0,0,0,0,0,0,0,0
0.277995,0,0,0,0,0,0,0,0,0,0,0,0
0.279586,0,0,0,0,0,0,0,0,0,0,0,0
0.281193,0,0,0,0,0,0,0,0,0,0,0,0
0.282786,0,0,0,0,0,0,0,0,0,0,0,0
0.284474,0,0,0,0,0,0,0,0,0,0,0,0
0.286037,0,0,0,0,0,0,0,0,0,0,0,0
0.287472,0,0,0,0,0,0,0,0,0,0,0,0
0.289036,0,0,0,0,0,0,0,0,0,0,0,0
0.290629,0,0,0,0,0,0,0,0,0,0,0,0
0.292234,0,0,0,0,0,0,0,0,0,0,0,0
0.293832,0,0,0,0,0,0,0,0,0,0,0,0
0.295424,0,0,0,0,0,0,0,0,0,0,0,0
0.297018,0,0,0,0,0,0,0,0,0,0,0,0
0.298612,0,0,0,0,0,0,0,0,0,0,0,0
0.300202,0,0,0,0,0,0,0,0,0,0,0,0
0.301694,0,0,0,0,0,0,0,0,0,0,0,0
0.303141,0,0,0,0,0,0,0,0,0,0,0,0
0.304615,0,0,0,0,0,0,0,0,0,0,0,0
0.306038,0,0,0,0,0,0,0,0,0,0,0,0
0.307459,0,0,0,0,0,0,0,0,0,0,0,0
0.308880,0,0,0,0,0,0,0,0,0,0,0,0
0.310300,0,0,0,0,0,0,0,0,0,0,0,0
0.311722,0,0,0,0,0,0,0,0,0,0,0,0
0.313151,0,0,0,0,0,0,0,0,0,0,0,0
0.314575,0,0,0,0,0,0,0,0,0,0,0,0
0.315996,0,0,0,0,0,0,0,0,0,0,0,0
0.317418,0,0,0,0,0,0,0,0,0,0,0,0
0.318838,0,0,0,0,0,0,0,0,0,0,0,0
0.320311,0,0,0,0,0,0,0,0,0,0,0,0
