elapsed_s,TP_2D_OUTPUT_PIXELS_BILINEAR,TP_2D_FILTER_WORKLOAD_16BIT,TP_2D_FILTER_WORKLOAD_32BIT,TP_TPA2TPC_TRANS,TP_L1_MISSES_ASTC_1TILE,TP_L1_MISSES_ASTC_2TILE,TP_L1_MISSES_ASTC_4TILE,TP_L1_5_COMPRESS_REQS,TP_L1_5_L2_COMPRESS_MISS,TP_L1_BANK_CONFLICT,TP_L1_5_MISS_LATENCY_CYCLES,TP_L1_5_MISS_LATENCY_TRANS
0.561475,0,0,0,0,0,0,0,0,0,0,0,0
0.563067,0,0,0,0,0,0,0,0,0,0,0,0
0.564659,0,0,0,0,0,0,0,0,0,0,0,0
0.566253,0,0,0,0,0,0,0,0,0,0,0,0
0.567859,0,0,0,0,0,0,0,0,0,0,0,0
0.569450,0,0,0,0,0,0,0,0,0,0,0,0
0.571042,0,0,0,0,0,0,0,0,0,0,0,0
0.572635,0,0,0,0,0,0,0,0,0,0,0,0
0.574310,0,0,0,0,0,0,0,0,0,0,0,0
0.575903,0,0,0,0,0,0,0,0,0,0,0,0
0.577493,0,0,0,0,0,0,0,0,0,0,0,0
0.579099,0,0,0,0,0,0,0,0,0,0,0,0
0.580692,0,0,0,0,0,0,0,0,0,0,0,0
0.582285,0,0,0,0,0,0,0,0,0,0,0,0
0.583877,0,0,0,0,0,0,0,0,0,0,0,0
0.585465,0,0,0,0,0,0,0,0,0,0,0,0
0.586930,0,0,0,0,0,0,0,0,0,0,0,0
0.588358,0,0,0,0,0,0,0,0,0,0,0,0
0.589836,0,0,0,0,0,0,0,0,0,0,0,0
0.591237,0,0,0,0,0,0,0,0,0,0,0,0
0.592659,0,0,0,0,0,0,0,0,0,0,0,0
0.594080,0,0,0,0,0,0,0,0,0,0,0,0
0.595500,0,0,0,0,0,0,0,0,0,0,0,0
0.596922,0,0,0,0,0,0,0,0,0,0,0,0
0.598343,0,0,0,0,0,0,0,0,0,0,0,0
0.599762,0,0,0,0,0,0,0,0,0,0,0,0
0.601196,0,0,0,0,0,0,0,0,0,0,0,0
0.602619,0,0,0,0,0,0,0,0,0,0,0,0
0.604039,0,0,0,0,0,0,0,0,0,0,0,0
0.605459,0,0,0,0,0,0,0,0,0,0,0,0
0.606917,0,0,0,0,0,0,0,0,0,0,0,0
0.608311,0,0,0,0,0,0,0,0,0,0,0,0
0.609704,0,0,0,0,0,0,0,0,0,0,0,0
0.611159,0,0,0,0,0,0,0,0,0,0,0,0
0.612560,0,0,0,0,0,0,0,0,0,0,0,0
0.614022,0,0,0,0,0,0,0,0,0,0,0,0
0.615503,0,0,0,0,0,0,0,0,0,0,0,0
0.616895,0,0,0,0,0,0,0,0,0,0,0,0
0.618287,0,0,0,0,0,0,0,0,0,0,0,0
0.619680,0,0,0,0,0,0,0,0,0,0,0,0
0.621073,0,0,0,0,0,0,0,0,0,0,0,0
0.622452,0,0,0,0,0,0,0,0,0,0,0,0
0.623899,0,0,0,0,0,0,0,0,0,0,0,0
0.625339,0,0,0,0,0,0,0,0,0,0,0,0
0.626779,0,0,0,0,0,0,0,0,0,0,0,0
0.628220,0,0,0,0,0,0,0,0,0,0,0,0
0.629662,0,0,0,0,0,0,0,0,0,0,0,0
0.631092,0,0,0,0,0,0,0,0,0,0,0,0
0.632534,0,0,0,0,0,0,0,0,0,0,0,0
0.633981,0,0,0,0,0,0,0,0,0,0,0,0
0.635422,0,0,0,0,0,0,0,0,0,0,0,0
0.636756,0,0,0,0,0,0,0,0,0,0,0,0
0.638247,0,0,0,0,0,0,0,0,0,0,0,0
0.639664,0,0,0,0,0,0,0,0,0,0,0,0
0.641061,0,0,0,0,0,0,0,0,0,0,0,0
0.642457,0,0,0,0,0,0,0,0,0,0,0,0
0.643844,0,0,0,0,0,0,0,0,0,0,0,0
0.645250,0,0,0,0,0,0,0,0,0,0,0,0
0.646633,0,0,0,0,0,0,0,0,0,0,0,0
0.648017,0,0,0,0,0,0,0,0,0,0,0,0
0.649766,0,0,0,0,0,0,0,0,0,0,0,0
0.651190,0,0,0,0,0,0,0,0,0,0,0,0
0.652581,0,0,0,0,0,0,0,0,0,0,0,0
0.654119,0,0,0,0,0,0,0,0,0,0,0,0
0.655567,0,0,0,0,0,0,0,0,0,0,0,0
0.656993,0,0,0,0,0,0,0,0,0,0,0,0
0.658422,0,0,0,0,0,0,0,0,0,0,62339,377
0.659706,0,0,0,262144,0,0,0,0,0,0,526100,8613
0.661152,0,0,0,0,0,0,0,0,0,0,0,0
0.662585,0,0,0,0,0,0,0,0,0,0,0,0
0.664015,0,0,0,0,0,0,0,0,0,0,0,0
0.665443,0,0,0,0,0,0,0,0,0,0,0,0
0.666885,0,0,0,0,0,0,0,0,0,0,0,0
0.668315,0,0,0,0,0,0,0,0,0,0,0,0
0.669784,0,0,0,0,0,0,0,0,0,0,0,0
0.671185,0,0,0,0,0,0,0,0,0,0,0,0
0.673317,0,0,0,0,0,0,0,0,0,0,0,0
0.674748,0,0,0,0,0,0,0,0,0,0,0,0
0.676174,0,0,0,0,0,0,0,0,0,0,0,0
0.677611,0,0,0,0,0,0,0,0,0,0,0,0
0.679159,0,0,0,0,0,0,0,0,0,0,0,0
