elapsed_s,CP_MEMORY_POOL_BELOW_THRESH,CP_AHB_WR_STALL_PRE_DRAWS,CP_AHB_STALL_SQE_GMU,CP_AHB_STALL_SQE_WR_OTHER,CP_AHB_STALL_SQE_RD_OTHER,CP_CLUSTER_FE_U_EMPTY,CP_CLUSTER_FE_S_EMPTY,CP_CLUSTER_SP_VS_EMPTY,CP_CLUSTER_VPC_US_EMPTY,CP_CLUSTER_VPC_VS_EMPTY,CP_CLUSTER_GRAS_EMPTY,CP_CLUSTER_SP_PS_EMPTY,CP_CLUSTER_VPC_PS_EMPTY,CP_CLUSTER_PS_EMPTY
2.605230,0,0,0,0,0,371775,377118,378266,378474,378408,378361,378360,378714,379442
2.606872,0,0,0,0,0,314161,308801,307668,307442,307505,307503,307502,307146,306415
2.608424,0,0,0,0,0,304810,304808,304792,304807,304757,304755,304754,304752,304751
2.609939,0,0,0,0,0,304771,304755,304769,304767,304767,304815,304814,304814,304815
2.611494,0,0,0,0,0,304713,304713,304711,304759,304757,304709,304708,304707,304705
2.613008,0,0,0,0,0,303962,303975,304008,303959,303958,303956,303956,303954,303954
2.614539,0,0,0,0,0,302947,302930,302896,302895,302894,302892,302891,302889,302888
2.616049,0,0,0,0,0,302637,302653,302636,302635,302634,302633,302632,302632,302631
2.617598,0,0,0,0,0,307091,307089,307088,307086,307086,307086,307084,307132,307130
2.619118,0,0,0,0,0,305181,305165,305178,305178,305177,305175,305175,305125,305124
2.620631,0,0,0,0,0,304845,304858,304891,304890,304889,304889,304888,304886,304885
2.622144,0,0,0,0,0,303606,303607,303606,303604,303652,303651,303698,303698,303697
2.623795,0,0,0,0,0,310759,310742,310709,310708,310658,310655,310607,310607,310606
2.625360,0,0,0,0,0,368874,368904,369018,371736,372172,372172,372169,372168,372168
2.626987,0,0,0,0,0,337408,337407,337275,334556,334117,334117,334116,334115,334113
2.628550,0,0,0,0,0,305143,305175,305175,305174,305173,305172,305220,305218,305218
2.630067,0,0,0,0,0,305380,305315,305329,305327,305376,305375,305325,305323,305322
2.631581,0,0,0,0,0,304795,304810,304807,304841,304790,304788,304788,304789,304788
2.633094,0,0,0,0,0,304722,304720,304754,304718,304718,304718,304764,304763,304761
2.634667,0,0,0,0,0,303729,303762,303741,303725,303724,303723,303674,303673,303672
2.636190,0,0,0,0,0,303567,303533,303502,303518,303515,303514,303513,303512,303510
2.637706,0,0,0,0,0,304004,304002,304003,304000,304000,304000,304000,304047,304047
2.639219,0,0,0,0,0,304696,304728,304741,304741,304740,304738,304737,304686,304686
2.640732,0,0,0,0,0,304606,304620,304620,304619,304618,304666,304666,304665,304664
2.642247,0,0,0,0,0,304923,304873,304872,304870,304869,304819,304817,304818,304818
2.643760,0,0,0,0,0,304265,304265,304297,304297,304296,304295,304341,304388,304385
2.645411,0,0,0,0,0,313614,313629,313628,313626,313625,313624,313575,313525,313525
2.646984,0,0,0,0,0,305222,305288,305254,305301,305301,305299,305299,305299,305296
2.648504,0,0,0,0,0,305437,305338,305337,305289,305287,305287,305285,305283,305283
2.650020,0,0,0,0,0,305847,305910,305943,305941,305941,305939,305938,305986,305985
2.651535,0,0,0,0,0,305069,305005,304969,304968,304966,304965,304965,304916,304915
2.653064,0,0,0,0,0,316232,316245,316228,316228,316228,316227,316226,316224,316224
2.654665,0,0,0,0,0,302180,302164,302180,302179,302178,302176,302175,302224,302270
2.656316,0,0,0,0,0,310575,310574,310573,310620,310618,310619,310665,310615,310567
2.657885,0,0,0,0,0,304840,304854,304837,304788,304787,304786,304738,304735,304734
2.659455,0,0,0,0,0,303945,303944,303944,303942,303941,303941,303939,303940,303938
2.660969,0,0,0,0,0,306203,306203,306202,306201,306201,306198,306197,306196,306196
2.662487,0,0,0,0,0,304926,304926,304923,304922,304921,304921,304920,304919,304918
2.664003,0,0,0,0,0,304501,304532,304546,304546,304544,304543,304543,304541,304538
2.665580,0,0,0,0,0,301083,301048,301032,301031,301031,301030,301028,301028,301029
2.667091,0,0,0,0,0,304765,304848,304863,304861,304859,304858,304859,304857,304855
2.668614,0,0,0,0,0,304605,304568,304553,304553,304601,304600,304597,304596,304596
2.670268,0,0,0,0,0,311722,311673,311672,311670,311621,311620,311619,311619,311616
2.671957,0,0,0,0,0,310825,310809,310871,310870,310869,310866,310865,310864,310864
2.673647,0,0,0,0,0,310927,310941,310876,310876,310875,310875,310874,310872,310871
2.675385,0,0,0,0,0,312405,312406,312453,312451,312450,312499,312499,312547,312546
2.677112,0,0,0,0,0,311223,311270,311269,311269,311267,311216,356271,353574,353718
2.678902,0,0,0,0,0,353901,353851,353802,353800,353801,353848,308790,311436,311290
2.680589,0,0,0,0,0,311665,311663,311663,311663,311661,311613,311611,311611,311611
