elapsed_s,HLSQ_BV_SP_CTX_ALIVE_CYCLE,HLSQ_STPROC_WAVE_NUM_FS,HLSQ_STPROC_WAVE_NUM_VS,HLSQ_STPROC_WAVE_NUM_BV,HLSQ_STPROC_WAVE_NUM_LPAC,HLSQ_VS_SP_CCTX_NUM
0.382632,0,0,0,0,0,0
0.384834,0,0,0,0,0,0
0.386254,0,0,0,0,0,0
0.387776,0,0,0,0,0,0
0.389325,0,0,0,0,0,0
0.390972,0,0,0,0,0,0
0.392529,0,0,0,0,0,0
0.394090,0,0,0,0,0,0
0.395831,0,0,0,0,0,0
0.397288,0,0,0,0,0,0
0.398817,0,0,0,0,0,0
0.400342,0,0,0,0,0,0
0.401904,0,0,0,0,0,0
0.403463,0,0,0,0,0,0
0.405021,0,0,0,0,0,0
0.406624,0,0,0,0,0,0
0.408198,0,0,0,0,0,0
0.409758,0,0,0,0,0,0
0.411317,0,0,0,0,0,0
0.412875,0,0,0,0,0,0
0.414435,0,0,0,0,0,0
0.415994,0,0,0,0,0,0
0.417551,0,0,0,0,0,0
0.419165,0,0,0,0,0,0
0.420723,0,0,0,0,0,0
0.422327,0,0,0,0,0,0
0.423885,0,0,0,0,0,0
0.425444,0,0,0,0,0,0
0.427007,0,0,0,0,0,0
0.428566,0,0,0,0,0,0
0.430139,0,0,0,0,0,0
0.431698,0,0,0,0,0,0
0.433255,0,0,0,0,0,0
0.434763,0,0,0,0,0,0
0.436415,0,0,0,0,0,0
0.437814,0,0,0,0,0,0
0.439380,0,0,0,0,0,0
0.440951,0,0,0,0,0,0
0.442509,0,0,0,0,0,0
0.444068,0,0,0,0,0,0
0.445627,0,0,0,0,0,0
0.447187,0,0,0,0,0,0
0.448744,0,0,0,0,0,0
0.450304,0,0,0,0,0,0
0.451877,0,0,0,0,0,0
0.453434,0,0,0,0,0,0
0.455019,0,0,0,0,0,0
0.456575,0,0,0,0,0,0
0.458135,0,0,0,0,0,0
0.459692,0,0,0,0,0,0
0.461140,0,0,0,0,0,0
0.462689,0,0,0,0,0,0
0.464249,0,0,0,0,0,0
0.465812,0,0,0,0,0,0
0.467373,0,0,0,0,0,0
0.468931,0,0,0,0,0,0
0.470534,0,0,0,0,0,0
0.472095,0,0,0,0,0,0
0.473671,0,0,0,0,0,0
0.475231,0,0,0,0,0,0
0.476789,0,0,0,0,0,0
0.478352,0,0,0,0,0,0
0.479913,0,0,0,0,0,0
0.481472,0,0,0,0,0,0
0.483037,0,0,0,0,0,0
0.484609,0,0,0,0,0,0
0.486216,0,0,0,0,0,0
0.487768,0,0,0,0,0,0
0.489318,0,0,0,0,0,0
0.490869,0,0,0,0,0,0
0.492398,0,0,0,0,0,0
0.493960,0,0,0,0,0,0
0.495533,0,0,0,0,0,0
0.497092,0,0,0,0,0,0
0.498652,0,0,0,0,0,0
0.500213,0,0,0,0,0,0
0.501776,0,0,0,0,0,0
0.503380,0,0,0,0,0,0
0.504939,0,0,0,0,0,0
0.506513,0,0,0,0,0,0
0.508074,0,0,0,0,0,0
0.509637,0,0,0,0,0,0
0.511198,0,0,0,0,0,0
0.512757,0,0,0,0,0,0
0.514319,0,0,0,0,0,0
0.515880,0,0,0,0,0,0
0.517450,0,0,0,0,0,0
0.519017,0,0,0,0,0,0
0.520576,0,0,0,0,0,0
0.522137,0,0,0,0,0,0
0.523689,0,0,0,0,0,0
0.525239,0,0,0,0,0,0
0.526876,0,0,0,0,0,0
0.528449,0,0,0,0,0,0
0.530012,0,0,0,0,0,0
0.531572,0,0,0,0,0,0
0.533130,0,0,0,0,0,0
