elapsed_s,HLSQ_STPROC_WAVE_CONTEXTS_VS,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_VS,HLSQ_STPROC_WAVE_CONTEXTS_FS,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_FS,HLSQ_STPROC_WAVE_CONTEXTS_BV,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_BV
0.406867,0,0,0,0,0,0
0.408427,0,0,0,0,0,0
0.410000,0,0,0,0,0,0
0.411561,0,0,0,0,0,0
0.413120,0,0,0,0,0,0
0.414676,0,0,0,0,0,0
0.416241,0,0,0,0,0,0
0.417797,0,0,0,0,0,0
0.419402,0,0,0,0,0,0
0.420976,0,0,0,0,0,0
0.422533,0,0,0,0,0,0
0.424096,0,0,0,0,0,0
0.425654,0,0,0,0,0,0
0.427214,0,0,0,0,0,0
0.428773,0,0,0,0,0,0
0.430212,0,0,0,0,0,0
0.431634,0,0,0,0,0,0
0.433036,0,0,0,0,0,0
0.434434,0,0,0,0,0,0
0.435875,0,0,0,0,0,0
0.437285,0,0,0,0,0,0
0.438683,0,0,0,0,0,0
0.440081,0,0,0,0,0,0
0.441603,0,0,0,0,0,0
0.443178,0,0,0,0,0,0
0.444737,0,0,0,0,0,0
0.446294,0,0,0,0,0,0
0.447852,0,0,0,0,0,0
0.449410,0,0,0,0,0,0
0.450970,0,0,0,0,0,0
0.452573,0,0,0,0,0,0
0.454145,0,0,0,0,0,0
0.455703,0,0,0,0,0,0
0.457261,0,0,0,0,0,0
0.458821,0,0,0,0,0,0
0.460380,0,0,0,0,0,0
0.461937,0,0,0,0,0,0
0.463497,0,0,0,0,0,0
0.465067,0,0,0,0,0,0
0.466615,0,0,0,0,0,0
0.468184,0,0,0,0,0,0
0.469743,0,0,0,0,0,0
0.471305,0,0,0,0,0,0
0.472865,0,0,0,0,0,0
0.474424,0,0,0,0,0,0
0.475873,0,0,0,0,0,0
