elapsed_s,HLSQ_BV_CTXT_BUF_FULL_BLOCK_CPI,HLSQ_VS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_FS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_BV_CONST_BUF_FULL_BLOCK_CPI,HLSQ_VS_INS_BUF_FULL_BLOCK_CPI,HLSQ_FS_INS_BUF_FULL_BLOCK_CPI
0.229909,0,0,0,0,0,0
0.231562,0,0,0,0,0,0
0.233137,0,0,0,0,0,0
0.234700,0,0,0,0,0,0
0.236255,0,0,0,0,0,0
0.237807,0,0,0,0,0,0
0.239280,0,0,0,0,0,0
0.241410,0,0,0,0,0,0
0.242775,0,0,0,0,0,0
0.244326,0,0,0,0,0,0
0.245755,0,0,0,0,0,0
0.247203,0,0,0,0,0,0
0.248605,0,0,0,0,0,0
0.250004,0,0,0,0,0,0
0.251404,0,0,0,0,0,0
0.252803,0,0,0,0,0,0
0.254331,0,0,0,0,0,0
0.255953,0,0,0,0,0,0
0.257514,0,0,0,0,0,0
0.259077,0,0,0,0,0,0
0.260638,0,0,0,0,0,0
0.262200,0,0,0,0,0,0
0.263785,0,0,0,0,0,0
0.265346,0,0,0,0,0,0
0.268715,0,0,0,0,0,0
0.270167,0,0,0,0,0,0
0.271678,0,0,0,0,0,0
0.273090,0,0,0,0,0,0
0.274540,0,0,0,0,0,0
0.276015,0,0,0,0,0,0
0.277419,0,0,0,0,0,0
0.278786,0,0,0,0,0,0
0.280195,0,0,0,0,0,0
0.281589,0,0,0,0,0,0
0.282984,0,0,0,0,0,0
0.284383,0,0,0,0,0,0
0.285779,0,0,0,0,0,0
0.287348,0,0,0,0,0,0
0.288923,0,0,0,0,0,0
0.290485,0,0,0,0,0,0
0.292046,0,0,0,0,0,0
0.293606,0,0,0,0,0,0
0.295262,0,0,0,0,0,0
0.296824,0,0,0,0,0,0
0.298385,0,0,0,0,0,0
0.299961,0,0,0,0,0,0
0.301519,0,0,0,0,0,0
0.303124,0,0,0,0,0,0
0.304687,0,0,0,0,0,0
0.306248,0,0,0,0,0,0
0.307688,0,0,0,0,0,0
0.309222,0,0,0,0,0,0
0.310843,0,0,0,0,0,0
0.312404,0,0,0,0,0,0
0.313964,0,0,0,0,0,0
0.315528,0,0,0,0,0,0
0.317088,0,0,0,0,0,0
0.318696,0,0,0,0,0,0
0.320258,0,0,0,0,0,0
0.321831,0,0,0,0,0,0
0.323393,0,0,0,0,0,0
0.324954,0,0,0,0,0,0
0.326517,0,0,0,0,0,0
0.328124,0,0,0,0,0,0
0.329684,0,0,0,0,0,0
0.331245,0,0,0,0,0,0
0.332821,0,0,0,0,0,0
0.334383,0,0,0,0,0,0
0.335989,0,0,0,0,0,0
0.337550,0,0,0,0,0,0
0.339111,0,0,0,0,0,0
0.340674,0,0,0,0,0,0
0.342237,0,0,0,0,0,0
0.343810,0,0,0,0,0,0
0.345471,0,0,0,0,0,0
0.346907,0,0,0,0,0,0
0.348311,0,0,0,0,0,0
