elapsed_s,HLSQ_STALL_CYCLES_UCHE,HLSQ_RESERVED_7,HLSQ_RESERVED_8,HLSQ_RESERVED_9,HLSQ_COMPUTE_DRAWCALLS,HLSQ_FS_DATA_WAIT_PROGRAMMING
1.157178,0,0,0,0,0,0
1.158704,0,0,0,0,0,0
1.160265,0,0,0,0,0,0
1.161827,0,0,0,0,0,0
1.163381,0,0,0,0,0,0
1.165060,0,0,0,0,0,0
1.166663,0,0,0,0,0,0
1.168224,0,0,0,0,0,0
1.169786,0,0,0,0,0,0
1.171339,0,0,0,0,0,0
1.172892,0,0,0,0,0,0
1.174288,0,0,0,0,0,0
1.175830,0,0,0,0,0,0
1.177394,0,0,0,0,0,0
1.178957,0,0,0,0,0,0
1.180518,0,0,0,0,0,0
1.182124,0,0,0,0,0,0
1.183688,0,0,0,0,0,0
1.185252,0,0,0,0,0,0
1.186830,0,0,0,0,0,0
1.188390,0,0,0,0,0,0
1.189952,0,0,0,0,0,0
1.191515,0,0,0,0,0,0
1.193080,0,0,0,0,0,0
1.194642,0,0,0,0,0,0
1.196204,0,0,0,0,0,0
1.197688,0,0,0,0,0,0
