elapsed_s,TSE_FE_ZERO_AREA_PRIM,TSE_FE_FACENESS_CULLED_PRIM,TSE_FE_ZERO_PIXEL_PRIM,TSE_FE_OUTPUT_NULL_PRIM
1.041990,0,0,0,0
1.043430,0,0,0,0
1.044951,0,0,0,0
1.046541,0,0,0,0
1.048092,0,0,0,0
1.049640,0,0,0,0
1.051188,0,0,0,0
1.052739,0,0,0,0
1.054176,0,0,0,0
1.055749,0,0,0,0
1.057301,0,0,0,0
1.058850,0,0,0,0
1.060400,0,0,0,0
1.061949,0,0,0,0
1.063501,0,0,0,0
1.065065,0,0,0,0
1.066614,0,0,0,0
1.068166,0,0,0,0
1.069709,0,0,0,0
1.071251,0,0,0,0
1.072750,0,0,0,0
1.074187,0,0,0,0
1.075715,0,0,0,0
1.077265,0,0,0,0
1.078855,0,0,0,0
1.080404,0,0,0,0
1.081828,0,0,0,0
1.083495,0,0,0,0
1.085035,0,0,0,0
1.086628,0,0,0,0
1.088048,0,0,0,0
1.089566,0,0,0,0
1.091115,0,0,0,0
1.092667,0,0,0,0
1.094213,0,0,0,0
1.095808,0,0,0,0
1.097368,0,0,0,0
1.098915,0,0,0,0
1.100463,0,0,0,0
1.102012,0,0,0,0
1.103607,0,0,0,0
1.105155,0,0,0,0
1.106702,0,0,0,0
1.108265,0,0,0,0
1.109814,0,0,0,0
1.111367,0,0,0,0
1.112916,0,0,0,0
1.114463,0,0,0,0
1.116012,0,0,0,0
1.117440,0,0,0,0
1.119019,0,0,0,0
1.120520,0,0,0,0
1.122040,0,0,0,0
1.123591,0,0,0,0
1.125142,0,0,0,0
1.126734,0,0,0,0
1.128286,0,0,0,0
1.129851,0,0,0,0
1.131403,0,0,0,0
1.132954,0,0,0,0
1.134546,0,0,0,0
1.136099,0,0,0,0
1.137640,0,0,0,0
1.139180,0,0,0,0
1.140616,0,0,0,0
1.142008,0,0,0,0
1.143568,0,0,0,0
1.145117,0,0,0,0
1.146666,0,0,0,0
1.148214,0,0,0,0
1.149764,0,0,0,0
1.151326,0,0,0,0
1.153029,0,0,0,0
1.154578,0,0,0,0
1.156127,0,0,0,0
