elapsed_s,TSE_FE_BV_STALLS_DUETO_BR,TSE_BE_STALL_CYCLES_LRZ_PRIM,TSE_FE_EARLY_BFCULL_GBCLIPPED_PRIM,TSE_REG_PROGRAMMING_WORKING_CYCLE_L1
0.421486,0,0,0,0
0.422794,0,0,0,0
0.424103,0,0,0,0
0.425446,0,0,0,0
0.426747,0,0,0,0
0.428041,0,0,0,0
0.429334,0,0,0,0
0.430627,0,0,0,0
0.431922,0,0,0,0
0.433216,0,0,0,0
0.434509,0,0,0,0
0.435804,0,0,0,0
0.437106,0,0,0,0
0.438401,0,0,0,0
0.439694,0,0,0,0
0.440987,0,0,0,0
0.442330,0,0,0,0
0.443690,0,0,0,0
0.445050,0,0,0,0
0.446459,0,0,0,0
0.447822,0,0,0,0
0.449182,0,0,0,0
0.450591,0,0,0,0
0.451977,0,0,0,0
0.453409,0,0,0,0
0.454773,0,0,0,0
0.456135,0,0,0,0
0.457512,0,0,0,0
0.458915,0,0,0,0
0.460327,0,0,0,0
0.461766,0,0,0,0
0.463304,0,0,0,0
0.464887,0,0,567,537
0.466388,0,0,0,0
0.467776,0,0,0,0
0.469174,0,0,0,0
0.470635,0,0,0,0
0.473352,0,0,0,0
0.474742,0,0,1329,1227
0.476161,0,0,0,0
0.477545,0,0,0,0
0.478929,0,0,0,0
0.480325,0,0,0,0
0.481710,0,0,0,0
0.483094,0,0,0,0
0.484478,0,0,0,0
0.485964,0,0,0,0
0.487395,0,0,0,0
0.488774,0,0,0,0
0.490295,0,0,0,0
0.491756,0,0,0,0
0.493133,0,0,0,0
0.494549,0,0,0,0
0.497395,0,0,0,0
0.499759,0,0,0,0
0.501242,0,0,0,0
0.502644,0,0,0,0
0.504030,0,0,0,0
0.505464,0,0,0,0
0.506946,0,0,0,0
0.508329,0,0,0,0
0.509674,0,0,0,0
0.511015,0,0,0,0
0.512358,0,0,0,0
0.513709,0,0,0,0
0.515050,0,0,0,0
0.516391,0,0,0,0
0.517729,0,0,0,0
0.519069,0,0,0,0
0.520406,0,0,0,0
0.521877,0,0,0,0
0.523532,0,0,0,0
0.525093,0,0,0,0
0.526644,0,0,0,0
0.528195,0,0,0,0
0.529745,0,0,0,0
0.531297,0,0,0,0
0.532848,0,0,0,0
0.534402,0,0,0,0
0.535965,0,0,0,0
0.537559,0,0,0,0
0.539109,0,0,0,0
0.540661,0,0,0,0
0.542214,0,0,0,0
0.543766,0,0,0,0
0.545316,0,0,0,0
0.546757,0,0,0,0
0.548278,0,0,0,0
0.549829,0,0,0,0
0.551251,0,0,0,0
0.552772,0,0,0,0
0.554323,0,0,0,0
0.555920,0,0,0,0
0.557484,0,0,0,0
0.559037,0,0,0,0
0.560589,0,0,0,0
0.562139,0,0,0,0
0.563772,0,0,0,0
0.565323,0,0,0,0
0.566876,0,0,0,0
0.568429,0,0,0,0
0.569970,0,0,0,0
0.571637,0,0,0,0
0.573195,0,0,0,0
0.574748,0,0,0,0
0.576299,0,0,0,0
0.577847,0,0,0,0
0.579461,0,0,0,0
0.581010,0,0,0,0
0.582563,0,0,0,0
0.584110,0,0,0,0
0.585701,0,0,0,0
0.587139,0,0,0,0
0.588538,0,0,0,0
0.589940,0,0,0,0
0.591340,0,0,0,0
0.592720,0,0,0,0
0.594097,0,0,0,0
0.595493,0,0,0,0
0.596870,0,0,0,0
0.598262,0,0,0,0
0.599639,0,0,0,0
0.601227,0,0,0,0
0.602636,0,0,0,0
0.604152,0,0,0,0
0.605511,0,0,0,0
0.606866,0,0,0,0
0.608223,0,0,0,0
0.609581,0,0,0,0
0.610954,0,0,0,0
0.613083,0,0,0,0
0.614527,0,0,0,0
0.615882,0,0,0,0
0.617276,0,0,0,0
0.618585,0,0,0,0
0.619994,0,0,0,0
0.621404,0,0,0,0
0.622705,0,0,0,0
0.624139,0,0,0,0
0.625549,0,0,0,0
0.626959,0,0,0,0
0.628261,0,0,0,0
0.629562,0,0,0,0
0.630976,0,0,0,0
0.632392,0,0,0,0
0.633815,0,0,0,0
0.635222,0,0,0,0
0.636676,0,0,0,0
0.638111,0,0,0,0
0.639552,0,0,0,0
