elapsed_s,TSE_BE_ST2_SCISSOR_VP_PARAMS_CACHE_MISS,TSE_BE_ILLEGAL_BOUNDING_BOX_PRIM,TSE_BE_VP_OUT_IS_NAN,TSE_BE_EXCLUDED_PRIM
0.474849,0,0,0,0
0.476250,0,0,0,0
0.477650,0,0,0,0
0.479035,0,0,0,0
0.480940,0,0,0,0
0.482347,0,0,0,0
0.483739,0,0,0,0
0.485126,0,0,0,0
0.486525,0,0,0,0
0.489051,0,0,0,0
0.490488,0,0,0,0
0.491876,0,0,0,0
0.493425,0,0,0,0
0.494810,0,0,0,0
0.496248,0,0,0,0
0.497644,0,0,0,0
0.499024,0,0,0,0
0.500403,0,0,0,0
0.501780,0,0,0,0
0.503158,0,0,0,0
0.504625,0,0,0,0
0.506005,0,0,0,0
0.507518,0,0,0,0
0.509041,0,0,0,0
0.510418,0,0,0,0
0.511798,0,0,0,0
0.513210,0,0,0,0
0.514595,0,0,0,0
0.515983,0,0,0,0
0.517590,0,0,0,0
0.518971,0,0,0,0
0.520360,0,0,0,0
0.521867,0,0,0,0
0.523410,0,0,0,0
0.525128,0,0,0,0
0.526676,0,0,0,0
0.528227,0,0,0,0
0.529777,0,0,0,0
0.531337,0,0,0,0
0.532891,0,0,0,0
0.534439,0,0,0,0
0.535989,0,0,0,0
0.537538,0,0,0,0
0.539128,0,0,0,0
0.540768,0,0,0,0
0.542203,0,0,0,0
0.543725,0,0,0,0
0.545275,0,0,0,0
0.546822,0,0,0,0
0.548371,0,0,0,0
0.549921,0,0,0,0
0.551472,0,0,0,0
0.553033,0,0,0,0
0.554621,0,0,0,0
0.556173,0,0,0,0
0.557722,0,0,0,0
0.559268,0,0,0,0
0.560991,0,0,0,0
0.562382,0,0,0,0
0.563908,0,0,0,0
0.565456,0,0,0,0
0.567003,0,0,0,0
0.568552,0,0,0,0
0.570101,0,0,0,0
0.571695,0,0,0,0
0.573244,0,0,0,0
0.574805,0,0,0,0
0.576354,0,0,0,0
0.577930,0,0,0,0
0.579484,0,0,0,0
0.581045,0,0,0,0
0.582592,0,0,0,0
0.584144,0,0,0,0
0.585705,0,0,0,0
0.587255,0,0,0,0
0.588806,0,0,0,0
0.590353,0,0,0,0
0.591904,0,0,0,0
0.593451,0,0,0,0
0.595602,0,0,0,0
0.597006,0,0,0,0
0.598388,0,0,0,0
0.599766,0,0,0,0
0.601147,0,0,0,0
0.602565,0,0,0,0
0.603943,0,0,0,0
0.605322,0,0,0,0
0.606699,0,0,0,0
0.608086,0,0,0,0
0.609465,0,0,0,0
0.610842,0,0,0,0
0.612219,0,0,0,0
0.613595,0,0,0,0
0.614972,0,0,0,0
0.616349,0,0,0,0
0.617727,0,0,0,0
0.619164,0,0,0,0
0.620574,0,0,0,0
0.621928,0,0,0,0
0.623281,0,0,0,0
0.624777,0,0,0,0
0.626131,0,0,0,0
0.627474,0,0,0,0
0.628828,0,0,0,0
0.630189,0,0,0,0
0.631576,0,0,0,0
0.632931,0,0,0,0
0.634285,0,0,0,0
0.635665,0,0,0,0
0.637006,0,0,0,0
0.638346,0,0,0,0
0.639733,0,0,0,0
0.641080,0,0,0,0
0.642419,0,0,0,0
0.643757,0,0,0,0
0.645095,0,0,0,0
0.646433,0,0,0,0
0.647772,0,0,0,0
0.649110,0,0,0,0
0.650477,0,0,0,0
0.651895,0,0,0,0
0.653305,0,0,0,0
0.654715,0,0,0,0
0.656124,0,0,0,0
