elapsed_s,TSE_SETUP_FMUL_WORKING_CYCLE_L2,TSE_SETUP_FMUL_0_WORKING_CYCLE_L3,TSE_SETUP_FMUL_1_WORKING_CYCLE_L3,TSE_SETUP_FMUL_2_WORKING_CYCLE_L3
1.093493,0,0,0,0
1.095045,0,0,0,0
1.096639,0,0,0,0
1.098141,0,0,0,0
1.099660,0,0,0,0
1.101214,0,0,0,0
1.102766,0,0,0,0
1.104357,0,0,0,0
1.105906,0,0,0,0
1.107457,0,0,0,0
1.109023,0,0,0,0
1.110565,0,0,0,0
1.112148,0,0,0,0
1.113806,0,0,0,0
1.115221,0,0,0,0
1.116613,0,0,0,0
1.118006,0,0,0,0
1.119398,0,0,0,0
1.120818,0,0,0,0
1.123652,0,0,0,0
1.125055,0,0,0,0
1.126658,0,0,0,0
1.128080,0,0,0,0
1.129479,0,0,0,0
1.130865,0,0,0,0
1.132250,0,0,0,0
1.133638,0,0,0,0
1.135022,0,0,0,0
1.136440,0,0,0,0
1.137827,0,0,0,0
1.139212,0,0,0,0
1.140612,0,0,0,0
1.141999,0,0,0,0
1.143383,0,0,0,0
1.144801,0,0,0,0
1.146316,0,0,0,0
1.147864,0,0,0,0
1.149415,0,0,0,0
1.150980,0,0,0,0
1.152570,0,0,0,0
1.154120,0,0,0,0
1.155670,0,0,0,0
1.157221,0,0,0,0
1.158772,0,0,0,0
1.160362,0,0,0,0
1.161926,0,0,0,0
1.163476,0,0,0,0
1.165027,0,0,0,0
1.166576,0,0,0,0
1.168168,0,0,0,0
1.169722,0,0,0,0
1.171274,0,0,0,0
1.172838,0,0,0,0
1.174389,0,0,0,0
1.175972,0,0,0,0
1.177394,0,0,0,0
1.178915,0,0,0,0
1.180465,0,0,0,0
1.182016,0,0,0,0
1.183452,0,0,0,0
1.185045,0,0,0,0
1.186661,0,0,0,0
1.188210,0,0,0,0
1.189762,0,0,0,0
1.191192,0,0,0,0
1.192760,0,0,0,0
1.194327,0,0,0,0
1.195877,0,0,0,0
1.197429,0,0,0,0
1.198980,0,0,0,0
1.200570,0,0,0,0
1.202122,0,0,0,0
1.203672,0,0,0,0
1.205237,0,0,0,0
1.206789,0,0,0,0
1.208381,0,0,0,0
1.209932,0,0,0,0
1.211483,0,0,0,0
1.213037,0,0,0,0
1.214587,0,0,0,0
1.216193,0,0,0,0
1.217745,0,0,0,0
1.219296,0,0,0,0
1.220845,0,0,0,0
1.222401,0,0,0,0
1.223991,0,0,0,0
1.225542,0,0,0,0
