elapsed_s,TSE_BE_EARLY_CULL_CLIPPED_PRIM,TSE_BE_BR_STALLS_DUETO_BV_CLIP,TSE_BE_BR_STALLS_DUETO_BV_POLY,TSE_BE_BV_STALLS_DUETO_BR_CLIP
0.822370,0,0,0,0
0.823970,0,0,0,0
0.825521,0,0,0,0
0.827075,0,0,0,0
0.828628,0,0,0,0
0.830179,0,0,0,0
0.831747,0,0,0,0
0.833299,0,0,0,0
0.834985,0,0,0,0
0.836454,0,0,0,0
0.837844,0,0,0,0
0.839407,0,0,0,0
0.840958,0,0,0,0
0.842530,0,0,0,0
0.843912,0,0,0,0
0.845444,0,0,0,0
0.847042,0,0,0,0
0.848598,0,0,0,0
0.850150,0,0,0,0
0.851706,0,0,0,0
0.853146,0,0,0,0
0.854718,0,0,0,0
0.856274,0,0,0,0
0.857827,0,0,0,0
0.859382,0,0,0,0
0.860937,0,0,0,0
0.862490,0,0,0,0
0.864114,0,0,0,0
0.865667,0,0,0,0
0.867222,0,0,0,0
0.868766,0,0,0,0
0.870309,0,0,0,0
0.872020,0,0,0,0
0.873571,0,0,0,0
0.875137,0,0,0,0
0.876690,0,0,0,0
0.878242,0,0,0,0
0.879664,0,0,0,0
0.881185,0,0,0,0
0.882739,0,0,0,0
0.884292,0,0,0,0
0.885727,0,0,0,0
0.887297,0,0,0,0
0.888851,0,0,0,0
0.890403,0,0,0,0
0.891960,0,0,0,0
0.893511,0,0,0,0
0.895109,0,0,0,0
0.896677,0,0,0,0
0.898225,0,0,0,0
0.899629,0,0,0,0
0.900997,0,0,0,0
0.902400,0,0,0,0
0.903835,0,0,0,0
0.905221,0,0,0,0
0.906627,0,0,0,0
0.908015,0,0,0,0
0.909400,0,0,0,0
0.910826,0,0,0,0
0.912214,0,0,0,0
0.913599,0,0,0,0
0.914986,0,0,0,0
0.916497,0,0,0,0
0.917954,0,0,0,0
0.919438,0,0,0,0
0.920966,0,0,0,0
0.922519,0,0,0,0
0.924080,0,0,0,0
0.925633,0,0,0,0
0.927235,0,0,0,0
0.928803,0,0,0,0
0.930356,0,0,0,0
