elapsed_s,TSE_BE_CLIP_PLANES,TSE_BE_EMPTY_BBOX_KILLED_PRIM,TSE_BE_ST1_VP_PARAMS_CACHE_MISS,TSE_BE_ST2_VPORT_VP_PARAMS_CACHE_MISS
0.972639,0,0,0,0
0.974192,0,0,0,0
0.975744,0,0,0,0
0.977294,0,0,0,0
0.978895,0,0,0,0
0.980446,0,0,0,0
0.982000,0,0,0,0
0.983556,0,0,0,0
0.985096,0,0,0,0
0.986516,0,0,0,0
0.988041,0,0,0,0
0.989596,0,0,0,0
0.991148,0,0,0,0
0.992697,0,0,0,0
0.994306,0,0,0,0
0.995859,0,0,0,0
0.997409,0,0,0,0
0.998966,0,0,0,0
1.000517,0,0,0,0
1.002116,0,0,0,0
1.003670,0,0,0,0
1.005235,0,0,0,0
1.006876,0,0,0,0
1.008427,0,0,0,0
1.010022,0,0,0,0
1.011582,0,0,0,0
1.013131,0,0,0,0
1.014684,0,0,0,0
1.016117,0,0,0,0
1.017774,0,0,0,0
1.019327,0,0,0,0
1.020913,0,0,0,0
1.022464,0,0,0,0
1.024018,0,0,0,0
1.025616,0,0,0,0
1.027056,0,0,0,0
1.028580,0,0,0,0
1.030135,0,0,0,0
1.031688,0,0,0,0
1.033240,0,0,0,0
1.034925,0,0,0,0
1.036475,0,0,0,0
1.038041,0,0,0,0
1.039593,0,0,0,0
1.041144,0,0,0,0
1.042699,0,0,0,0
1.044253,0,0,0,0
1.045809,0,0,0,0
1.047353,0,0,0,0
1.048910,0,0,0,0
1.050330,0,0,0,0
1.052945,0,0,0,0
1.054375,0,0,0,0
1.055768,0,0,0,0
1.057155,0,0,0,0
1.058586,0,0,0,0
1.059987,0,0,0,0
1.061346,0,0,0,0
1.062865,0,0,0,0
1.064415,0,0,0,0
1.066012,0,0,0,0
1.067565,0,0,0,0
1.069116,0,0,0,0
1.070680,0,0,0,0
1.072232,0,0,0,0
1.073830,0,0,0,0
1.075382,0,0,0,0
1.076933,0,0,0,0
1.078486,0,0,0,0
1.080039,0,0,0,0
1.081475,0,0,0,0
1.083051,0,0,0,0
1.084604,0,0,0,0
