elapsed_s,VFD_STALL_CYCLES_PRG_END_FE,VFD_STALL_CYCLES_CBSYNC,VFD_BOTTLENECK_CYCLES,VFD_WORKING_CYCLES
0.694833,0,0,0,0
0.696321,0,0,0,0
0.697892,0,0,0,0
0.699254,0,0,0,0
0.700612,0,0,0,0
0.701953,0,0,0,0
0.703289,0,0,0,0
0.704627,0,0,0,0
0.705967,0,0,0,0
0.707305,0,0,0,0
0.708642,0,0,0,0
0.709980,0,0,0,0
0.711330,0,0,0,0
0.712731,0,0,0,0
0.714122,0,0,0,0
0.715635,0,0,0,0
0.717432,0,0,0,0
0.718983,0,0,0,0
0.720530,0,0,0,0
0.722092,0,0,0,0
0.723642,0,0,0,0
0.725193,0,0,0,0
0.726742,0,0,0,0
0.728333,0,0,0,0
0.729883,0,0,0,0
0.731433,0,0,0,0
0.732994,0,0,0,0
0.734548,0,0,0,0
0.736095,0,0,0,0
0.737646,0,0,0,0
0.739195,0,0,0,0
0.740742,0,0,0,0
0.742364,0,0,0,0
0.743924,0,0,0,0
0.745436,0,0,0,0
0.746985,0,0,0,0
0.748533,0,0,0,0
0.750082,0,0,0,0
0.751632,0,0,0,0
0.753182,0,0,0,0
0.754620,0,0,0,0
0.756140,0,0,0,0
0.757690,0,0,0,0
0.759240,0,0,0,0
0.760899,0,0,0,0
0.762461,0,0,0,0
0.763851,0,0,0,0
0.765376,0,0,0,0
0.766927,0,0,0,0
0.768474,0,0,0,0
0.770022,0,0,0,0
0.771570,0,0,0,0
0.773200,0,0,0,0
0.774749,0,0,0,0
0.776349,0,0,0,0
0.777997,0,0,0,0
0.779400,0,0,0,0
0.780788,0,0,0,0
0.782219,0,0,0,0
0.783598,0,0,0,0
0.784974,0,0,0,0
0.786390,0,0,0,0
0.787767,0,0,0,0
0.789181,0,0,0,0
0.790560,0,0,0,0
0.791938,0,0,0,0
0.793352,0,0,0,0
0.794706,0,0,0,0
0.796062,0,0,0,0
0.797429,0,0,0,0
0.798783,0,0,0,0
0.800140,0,0,0,0
0.801498,0,0,0,0
0.802853,0,0,0,0
