elapsed_s,PC_US_STALL_CYCLES_COMPUTE_GFX,PC_US_STALL_CYCLES_GFX_COMPUTE,PC_US_PREDRAW_STALLS,PC_US_DP0_INPUT_STALLS,PC_US_DP1_INPUT_STALLS,PC_US_BR_STALLS_BV_WORKLOAD,PC_US_BV_STALLS_BR_WORKLOAD,PC_US_PASSPAIR_STALL
0.475839,0,0,0,0,0,0,0,0
0.477298,0,0,0,0,0,0,0,0
0.478742,0,0,0,0,0,0,0,0
0.480440,0,0,0,0,0,0,0,0
0.482229,0,0,0,0,0,0,0,0
0.483864,0,0,0,0,0,0,0,0
0.486078,0,0,0,0,0,0,0,0
0.487548,0,0,0,0,0,0,0,0
0.488981,0,0,0,0,0,0,0,0
0.490388,0,0,0,0,0,0,0,0
0.491792,0,0,0,0,0,0,0,0
0.493195,0,0,0,0,0,0,0,0
0.494600,0,0,0,0,0,0,0,0
0.496058,0,0,0,0,0,0,0,0
0.497595,0,0,0,0,0,0,0,0
0.499222,0,0,0,0,0,0,0,0
0.500794,0,0,0,0,0,0,0,0
0.502413,0,0,0,0,0,0,0,0
0.503988,0,0,0,0,0,0,0,0
0.505560,0,0,0,0,0,0,0,0
0.507204,0,0,0,0,0,0,0,0
0.508775,0,0,0,0,0,0,0,0
0.510351,0,0,0,0,0,0,0,0
0.511914,0,0,0,0,0,0,0,0
0.513478,0,0,0,0,0,0,0,0
0.514939,0,0,0,0,0,0,0,0
0.516570,0,0,0,0,0,0,0,0
0.518033,0,0,0,0,0,0,0,0
0.519622,0,0,0,0,0,0,0,0
0.521195,0,0,0,0,0,0,0,0
0.522770,0,0,0,0,0,0,0,0
0.524344,0,0,0,0,0,0,0,0
0.525919,0,0,0,0,0,0,0,0
0.527494,0,0,0,0,0,0,0,0
0.529079,0,0,0,0,0,0,0,0
0.530655,0,0,0,0,0,0,0,0
0.532229,0,0,0,0,0,0,0,0
0.533802,0,0,0,0,0,0,0,0
0.535382,0,0,0,0,0,0,0,0
0.536954,0,0,0,0,0,0,0,0
0.538530,0,0,0,0,0,0,0,0
0.540119,0,0,0,0,0,0,0,0
0.541691,0,0,0,0,0,0,0,0
0.543269,0,0,0,0,0,0,0,0
0.544842,0,0,0,0,0,0,0,0
0.546418,0,0,0,0,0,0,0,0
0.547993,0,0,0,0,0,0,0,0
0.549566,0,0,0,0,0,0,0,0
0.551101,0,0,0,0,0,0,0,0
0.552645,0,0,0,0,0,0,0,0
0.554221,0,0,0,0,0,0,0,0
0.555795,0,0,0,0,0,0,0,0
0.557367,0,0,0,0,0,0,0,0
0.558939,0,0,0,0,0,0,0,0
0.560514,0,0,0,0,0,0,0,0
0.562103,0,0,0,0,0,0,0,0
0.563677,0,0,0,0,0,0,0,0
0.565250,0,0,0,0,0,0,0,0
0.566867,0,0,0,0,0,0,0,0
0.568443,0,0,0,0,0,0,0,0
0.570018,0,0,0,0,0,0,0,0
0.571582,0,0,0,0,0,0,0,0
