elapsed_s,RBBM_NEVER_COUNT,RBBM_US_ALWAYS_COUNT,RBBM_US_ALWAYS_ON,RBBM_US_STATUS_MASKED
0.768270,0,397218,3863,2412
0.769838,0,398324,3872,2367
0.771393,0,398695,3878,2372
0.772946,0,441777,4305,2375
0.774545,0,397933,3869,2367
0.776098,0,397556,3866,2368
0.777655,0,397514,3866,2375
0.779210,0,398358,3874,2326
0.780775,0,405107,3941,2370
0.782335,0,396938,3858,2443
0.783887,0,396772,3859,2402
0.785487,0,397434,3865,2369
0.787042,0,398276,3874,2332
0.788595,0,395736,3848,2369
0.790149,0,398462,3874,2368
0.791716,0,396107,3852,2515
0.793272,0,395136,3843,2400
0.794819,0,392908,3819,2371
0.796362,0,392747,3818,2293
0.797780,0,387874,3769,2331
0.799303,0,395942,3849,2365
0.800863,0,446704,4354,2378
0.802354,0,388219,3773,2473
0.803880,0,397551,3865,2328
0.805437,0,397900,3869,2444
0.806990,0,395746,3847,2366
0.808541,0,396054,3851,2326
0.810096,0,398059,3871,2348
0.811653,0,397144,3862,2370
0.813221,0,396272,3853,2373
0.814775,0,396674,3856,2371
0.816327,0,395005,3841,2372
0.817881,0,397718,3867,2366
0.819434,0,395512,3847,2473
0.821052,0,338197,3276,2410
0.822412,0,387709,3769,2372
0.823815,0,366465,3859,2240
0.825340,0,370548,3866,2337
0.826894,0,369556,3856,2240
0.828445,0,369533,3854,2233
0.829999,0,369488,3855,2239
0.831552,0,370051,3861,2225
0.833151,0,369710,3857,2237
0.834725,0,369942,3860,2234
0.836276,0,369721,3857,2277
0.837832,0,370267,3862,2228
0.839385,0,368735,3845,2233
0.840937,0,384358,4013,2233
0.842626,0,382105,3988,2240
0.844062,0,359533,3748,2234
0.845599,0,368952,3848,2242
0.847152,0,368471,3844,2235
0.848704,0,411747,4304,2225
0.850305,0,368094,3840,2232
0.851856,0,367956,3838,2228
0.853411,0,369351,3852,2236
0.854963,0,368924,3849,2302
0.856403,0,361456,3768,2258
0.857931,0,371694,3878,2229
0.859486,0,370192,3861,2229
0.861043,0,371723,3877,2364
0.862598,0,370465,3864,2229
0.864151,0,370824,3870,2233
0.865751,0,370488,3866,2234
