elapsed_s,CP_ICACHE_MISSES,CP_ICACHE_HITS,CP_ICACHE_STALL,CP_DCACHE_MISSES,CP_DCACHE_HITS,CP_DCACHE_STALLS,CP_AQE_SQE_STALL,CP_SQE_AQE_STARVE,CP_ISR_CYCLES,CP_SQE_MD8_STALL_CYCLES,CP_SQE_MESH_EXEC_CYCLES,CP_AQE_NUM_AS_CHUNKS,CP_AQE_NUM_MS_CHUNKS,CP_S_SKEW_BUFFER_FULL
0.476537,18,237,1651,0,0,0,0,0,0,0,0,0,0,0
0.478122,18,233,1647,0,0,0,0,0,0,0,0,0,0,0
0.479726,17,232,1662,0,0,0,0,0,0,0,0,0,0,0
0.481332,17,232,1659,0,0,0,0,0,0,0,0,0,0,0
0.482937,17,230,1656,0,0,0,0,0,0,0,0,0,0,0
0.484586,17,232,1667,0,0,0,0,0,0,0,0,0,0,0
0.486193,17,230,1658,0,0,0,0,0,0,0,0,0,0,0
0.487796,17,226,1658,0,0,0,0,0,0,0,0,0,0,0
0.489414,17,232,1663,0,0,0,0,0,0,0,0,0,0,0
0.491019,17,232,1653,0,0,0,0,0,0,0,0,0,0,0
0.492668,17,232,1772,0,0,0,0,0,0,0,0,0,0,0
0.494273,17,228,1662,0,0,0,0,0,0,0,0,0,0,0
0.495876,17,230,1664,0,0,0,0,0,0,0,0,0,0,0
0.497354,17,230,1646,0,0,0,0,0,0,0,0,0,0,0
0.498930,18,239,1655,0,0,0,0,0,0,0,0,0,0,0
0.500593,18,237,1650,0,0,0,0,0,0,0,0,0,0,0
0.502198,17,232,1662,0,0,0,0,0,0,0,0,0,0,0
0.503802,17,232,1651,0,0,0,0,0,0,0,0,0,0,0
0.505407,18,237,1647,0,0,0,0,0,0,0,0,0,0,0
0.507003,18,239,1639,0,0,0,0,0,0,0,0,0,0,0
0.508566,18,239,1738,0,0,0,0,0,0,0,0,0,0,0
0.510035,18,235,1650,0,0,0,0,0,0,0,0,0,0,0
0.511526,17,310,1661,0,0,0,0,0,0,0,0,0,0,0
0.512974,17,230,1660,0,0,0,0,0,0,0,0,0,0,0
0.514417,17,232,1657,0,0,0,0,0,0,0,0,0,0,0
0.515859,17,232,1651,0,0,0,0,0,0,0,0,0,0,0
0.517303,17,232,1657,0,0,0,0,0,0,0,0,0,0,0
0.518744,18,237,1647,0,0,0,0,0,0,0,0,0,0,0
0.520316,17,232,1654,0,0,0,0,0,0,0,0,0,0,0
0.521925,17,232,1660,0,0,0,0,0,0,0,0,0,0,0
0.523516,17,232,1663,0,0,0,0,0,0,0,0,0,0,0
0.524990,18,239,1639,0,0,0,0,0,0,0,0,0,0,0
0.526565,17,230,1657,0,0,0,0,0,0,0,0,0,0,0
0.528169,18,239,1645,0,0,0,0,0,0,0,0,0,0,0
0.529779,18,237,1643,0,0,0,0,0,0,0,0,0,0,0
0.531381,17,226,1660,0,0,0,0,0,0,0,0,0,0,0
0.533002,17,232,1658,0,0,0,0,0,0,0,0,0,0,0
0.534608,17,230,1655,0,0,0,0,0,0,0,0,0,0,0
0.536212,17,230,1796,0,0,0,0,0,0,0,0,0,0,0
0.537814,17,232,1662,0,0,0,0,0,0,0,0,0,0,0
0.539408,18,239,1651,0,0,0,0,0,0,0,0,0,0,0
0.540882,17,226,1689,0,0,0,0,0,0,0,0,0,0,0
0.542459,17,232,1656,0,0,0,0,0,0,0,0,0,0,0
0.544074,17,232,1654,0,0,0,0,0,0,0,0,0,0,0
0.545683,17,230,1649,0,0,0,0,0,0,0,0,0,0,0
0.547287,17,228,1655,0,0,0,0,0,0,0,0,0,0,0
0.548894,17,230,1665,0,0,0,0,0,0,0,0,0,0,0
0.550500,18,233,1646,0,0,0,0,0,0,0,0,0,0,0
0.552104,17,228,1666,0,0,0,0,0,0,0,0,0,0,0
0.553711,17,232,1666,0,0,0,0,0,0,0,0,0,0,0
0.555329,17,232,1657,0,0,0,0,0,0,0,0,0,0,0
0.556937,17,232,1659,0,0,0,0,0,0,0,0,0,0,0
0.558544,18,239,1651,0,0,0,0,0,0,0,0,0,0,0
0.560147,18,239,1649,0,0,0,0,0,0,0,0,0,0,0
0.561661,18,239,1642,0,0,0,0,0,0,0,0,0,0,0
0.563108,18,239,1694,0,0,0,0,0,0,0,0,0,0,0
0.564551,17,232,1658,0,0,0,0,0,0,0,0,0,0,0
0.565997,18,223,1618,0,0,0,0,0,0,0,0,0,0,0
0.567430,18,235,1583,0,0,0,0,0,0,0,0,0,0,0
0.568863,18,235,1588,0,0,0,0,0,0,0,0,0,0,0
0.570294,18,235,1584,0,0,0,0,0,0,0,0,0,0,0
0.571729,18,235,1630,0,0,0,0,0,0,0,0,0,0,0
0.573155,18,231,1629,0,0,0,0,0,0,0,0,0,0,0
0.574559,18,231,1579,0,0,0,0,0,0,0,0,0,0,0
0.575962,18,259,1587,0,0,0,0,0,0,0,0,0,0,0
0.577439,18,235,1581,0,0,0,0,0,0,0,0,0,0,0
0.578843,18,235,1580,0,0,0,0,0,0,0,0,0,0,0
0.580332,17,224,1786,0,0,0,0,0,0,0,0,0,0,0
0.581718,18,235,1632,0,0,0,0,0,0,0,0,0,0,0
0.583166,18,231,1592,0,0,0,0,0,0,0,0,0,0,0
0.584642,18,235,1630,0,0,0,0,0,0,0,0,0,0,0
0.586021,18,231,1607,0,0,0,0,0,0,0,0,0,0,0
