elapsed_s,CP_S_SKEW_BUFFER_ABOVE_THRESH,CP_ECACHE_HITS,CP_ECACHE_KILLS,CP_ECACHE_REQS,CP_ECACHE_EVEN_REQS,CP_ECACHE_STALLS_RAP,CP_ECACHE_BUSY
0.826103,0,0,0,0,0,0,0
0.827537,0,0,0,0,0,0,0
0.829074,0,0,0,0,0,0,0
0.830693,0,0,0,0,0,0,0
0.832330,0,0,0,0,0,0,0
0.833893,0,0,0,0,0,0,0
0.835459,0,0,0,0,0,0,0
0.837025,0,0,0,0,0,0,0
0.838632,0,0,0,0,0,0,0
0.840203,0,0,0,0,0,0,0
0.841782,0,0,0,0,0,0,0
0.843350,0,0,0,0,0,0,0
0.844916,0,0,0,0,0,0,0
0.846523,0,0,0,0,0,0,0
0.848095,0,0,0,0,0,0,0
0.849659,0,0,0,0,0,0,0
0.851226,0,0,0,0,0,0,0
0.852806,0,0,0,0,0,0,0
0.854370,0,0,0,0,0,0,0
0.856072,0,0,0,0,0,0,0
0.857638,0,0,0,0,0,0,0
0.859206,0,0,0,0,0,0,0
0.860773,0,0,0,0,0,0,0
0.862336,0,0,0,0,0,0,0
0.864022,0,0,0,0,0,0,0
0.865587,0,0,0,0,0,0,0
0.867154,0,0,0,0,0,0,0
0.868720,0,0,0,0,0,0,0
0.870285,0,0,0,0,0,0,0
0.871854,0,0,0,0,0,0,0
0.873419,0,0,0,0,0,0,0
0.875001,0,0,0,0,0,0,0
0.876568,0,0,0,0,0,0,0
0.878132,0,0,0,0,0,0,0
0.879696,0,0,0,0,0,0,0
0.881263,0,0,0,0,0,0,0
0.882830,0,0,0,0,0,0,0
0.884397,0,0,0,0,0,0,0
0.885975,0,0,0,0,0,0,0
0.887543,0,0,0,0,0,0,0
0.889109,0,0,0,0,0,0,0
0.890674,0,0,0,0,0,0,0
0.892242,0,0,0,0,0,0,0
0.893807,0,0,0,0,0,0,0
0.895376,0,0,0,0,0,0,0
0.896955,0,0,0,0,0,0,0
0.898519,0,0,0,0,0,0,0
0.900089,0,0,0,0,0,0,0
0.901652,0,0,0,0,0,0,0
0.903262,0,0,0,0,0,0,0
0.904830,0,0,0,0,0,0,0
0.906393,0,0,0,0,0,0,0
0.907911,0,0,0,0,0,0,0
0.909448,0,0,0,0,0,0,0
0.911058,0,0,0,0,0,0,0
0.912624,0,0,0,0,0,0,0
0.914189,0,0,0,0,0,0,0
0.915755,0,0,0,0,0,0,0
0.917321,0,0,0,0,0,0,0
0.918946,0,0,0,0,0,0,0
0.920512,0,0,0,0,0,0,0
0.922075,0,0,0,0,0,0,0
0.923641,0,0,0,0,0,0,0
0.925207,0,0,0,0,0,0,0
0.926818,0,0,0,0,0,0,0
0.928374,0,0,0,0,0,0,0
0.929943,0,0,0,0,0,0,0
0.931375,0,0,0,0,0,0,0
0.932910,0,0,0,0,0,0,0
0.934515,0,0,0,0,0,0,0
0.936084,0,0,0,0,0,0,0
0.937647,0,0,0,0,0,0,0
0.939213,0,0,0,0,0,0,0
0.940790,0,0,0,0,0,0,0
0.942352,0,0,0,0,0,0,0
0.944024,0,0,0,0,0,0,0
0.945586,0,0,0,0,0,0,0
0.947153,0,0,0,0,0,0,0
0.948716,0,0,0,0,0,0,0
0.950278,0,0,0,0,0,0,0
0.951775,0,0,0,0,0,0,0
0.953202,0,0,0,0,0,0,0
0.954764,0,0,0,0,0,0,0
0.956330,0,0,0,0,0,0,0
0.957892,0,0,0,0,0,0,0
0.959459,0,0,0,0,0,0,0
0.961023,0,0,0,0,0,0,0
